episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,policy_reward_min/policy_0,policy_reward_max/policy_0,policy_reward_mean/policy_0,hist_stats/episode_reward,hist_stats/episode_lengths,hist_stats/policy_policy_0_reward,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/policy_0/learner_stats/cur_kl_coeff,info/learner/policy_0/learner_stats/cur_lr,info/learner/policy_0/learner_stats/total_loss,info/learner/policy_0/learner_stats/policy_loss,info/learner/policy_0/learner_stats/vf_loss,info/learner/policy_0/learner_stats/vf_explained_var,info/learner/policy_0/learner_stats/kl,info/learner/policy_0/learner_stats/entropy,info/learner/policy_0/learner_stats/entropy_coeff
18617.0,18617.0,18617.0,1005.0,1,1,1025,1025,1021,False,1,1,11ef4_00000,ee2141787e144af1bfd962f6ce571ad7,2022-06-04_15-24-48,1654345488,89.5996253490448,89.5996253490448,3128,DESKTOP-CPP4MC7,127.0.0.1,89.5996253490448,1025,1,10.46631669998169,-144.0,13180.0,3723.4,[18617.0],[1005],"[5701.0, -120.0, 13180.0, -144.0, 0.0]",0.1489732697693228,1.132685306244194,0.04773483871251751,83.98552572982817,0.0,87559.397,11.706,4.976,205997.202,2037.826,502.987,3.948,1025,1021,1025,1025,1021,16.822834645669293,82.52362204724409,0.2,5.000000000000001e-05,6.526984619242804,-0.11524632232529776,6.640628593563495,-0.14285966044380552,0.008011764650412673,2.1894536665507727,0.0
20688.0,18617.0,19652.5,1005.0,1,1,2050,1025,2046,False,2,2,11ef4_00000,ee2141787e144af1bfd962f6ce571ad7,2022-06-04_15-26-19,1654345579,90.4303252696991,180.0299506187439,3128,DESKTOP-CPP4MC7,127.0.0.1,180.0299506187439,2050,2,10.46631669998169,-364.0,13180.0,3930.5,"[18617.0, 20688.0]","[1005, 1005]","[5701.0, -120.0, 13180.0, -144.0, 0.0, 9326.0, -360.0, 12446.0, -364.0, -360.0]",0.1559790584309117,1.1322253145333026,0.04987079568138526,84.13798091665524,0.0,88885.703,11.532,4.0,256276.212,2168.691,472.635,3.979,2050,2046,2050,1025,2046,16.884375,82.15156250000001,0.20000000000000004,5.0000000000000016e-05,9.34603842496872,-0.030214257972935834,9.375000077486039,-6.648401419321696e-07,0.006263084474136356,2.183651120464007,0.0
20688.0,18617.0,19700.333333333332,1005.0,1,1,3075,1025,3071,False,3,3,11ef4_00000,ee2141787e144af1bfd962f6ce571ad7,2022-06-04_15-27-50,1654345670,91.30498361587524,271.33493423461914,3128,DESKTOP-CPP4MC7,127.0.0.1,271.33493423461914,3075,3,10.46631669998169,-364.0,13365.0,3940.0666666666666,"[18617.0, 20688.0, 19796.0]","[1005, 1005, 1005]","[5701.0, -120.0, 13180.0, -144.0, 0.0, 9326.0, -360.0, 12446.0, -364.0, -360.0, 6875.0, 0.0, 13365.0, -224.0, -220.0]",0.15643957319638346,1.1320194322480097,0.05203529423960379,84.31573932312254,0.0,89691.78,11.428,3.663,279802.252,2226.428,460.379,3.64,3075,3071,3075,1025,3071,17.51007751937984,82.0139534883721,0.20000000000000004,5.0000000000000016e-05,7.72212051153183,-0.044817048714806636,7.764645056116084,0.0001194623609383901,0.011462670933784362,2.1680685371160506,0.0
21258.0,18617.0,20089.75,1005.0,1,1,4100,1025,4096,False,4,4,11ef4_00000,ee2141787e144af1bfd962f6ce571ad7,2022-06-04_15-29-20,1654345760,90.16923642158508,361.5041706562042,3128,DESKTOP-CPP4MC7,127.0.0.1,361.5041706562042,4100,4,10.46631669998169,-364.0,13365.0,4017.95,"[18617.0, 20688.0, 19796.0, 21258.0]","[1005, 1005, 1005, 1005]","[5701.0, -120.0, 13180.0, -144.0, 0.0, 9326.0, -360.0, 12446.0, -364.0, -360.0, 6875.0, 0.0, 13365.0, -224.0, -220.0, 9587.0, -240.0, 12215.0, -124.0, -180.0]",0.15693944442708532,1.1315700657248469,0.05404737892751403,84.38588460186259,0.0,89838.46,11.409,3.502,292688.947,2237.966,458.005,3.728,4100,4096,4100,1025,4096,17.082812500000003,81.69218749999999,0.20000000000000004,5.0000000000000016e-05,8.69380853374799,-0.04098413996398449,8.733082030216853,0.0001356827716032664,0.008553320923988661,2.153323915600777,0.0
21258.0,17376.0,19547.0,1005.0,1,1,5125,1025,5121,False,5,5,11ef4_00000,ee2141787e144af1bfd962f6ce571ad7,2022-06-04_15-30-51,1654345851,90.86981248855591,452.37398314476013,3128,DESKTOP-CPP4MC7,127.0.0.1,452.37398314476013,5125,5,10.46631669998169,-364.0,13365.0,3909.4,"[18617.0, 20688.0, 19796.0, 21258.0, 17376.0]","[1005, 1005, 1005, 1005, 1005]","[5701.0, -120.0, 13180.0, -144.0, 0.0, 9326.0, -360.0, 12446.0, -364.0, -360.0, 6875.0, 0.0, 13365.0, -224.0, -220.0, 9587.0, -240.0, 12215.0, -124.0, -180.0, 1725.0, -48.0, 13174.0, 36.0, 2489.0]",0.15712592425109406,1.1319629492155663,0.05475379028002965,84.44256198774121,0.0,90030.383,11.385,3.4,301479.755,2266.975,452.144,3.584,5125,5121,5125,1025,5121,17.23565891472868,79.10077519379846,0.20000000000000004,5.0000000000000016e-05,9.303407633304596,-0.04317316530893246,9.344358537594477,-0.0006015211343765259,0.01111133349044991,2.1296056022246677,0.0
21258.0,17372.0,19184.5,1005.0,1,1,6150,1025,6146,False,6,6,11ef4_00000,ee2141787e144af1bfd962f6ce571ad7,2022-06-04_15-32-21,1654345941,89.88839912414551,542.2623822689056,3128,DESKTOP-CPP4MC7,127.0.0.1,542.2623822689056,6150,6,10.46631669998169,-560.0,13614.0,3836.9,"[18617.0, 20688.0, 19796.0, 21258.0, 17376.0, 17372.0]","[1005, 1005, 1005, 1005, 1005, 1005]","[5701.0, -120.0, 13180.0, -144.0, 0.0, 9326.0, -360.0, 12446.0, -364.0, -360.0, 6875.0, 0.0, 13365.0, -224.0, -220.0, 9587.0, -240.0, 12215.0, -124.0, -180.0, 1725.0, -48.0, 13174.0, 36.0, 2489.0, 5012.0, -560.0, 13614.0, -254.0, -440.0]",0.1572966373200451,1.1348036571649185,0.055036305832103366,84.46252977827432,0.0,90034.235,11.385,3.332,307628.646,2267.043,452.131,3.486,6150,6146,6150,1025,6146,16.730708661417324,77.85669291338584,0.20000000000000004,5.0000000000000016e-05,9.652953084309896,-0.04676531781442463,9.697304689884186,-0.0007117164631684621,0.012068497792913213,2.116354771455129,0.0
21258.0,14545.0,18521.714285714286,1005.0,1,1,7175,1025,7171,False,7,7,11ef4_00000,ee2141787e144af1bfd962f6ce571ad7,2022-06-04_15-33-52,1654346032,90.24724793434143,632.5096302032471,3128,DESKTOP-CPP4MC7,127.0.0.1,632.5096302032471,7175,7,10.46631669998169,-684.0,13614.0,3704.342857142857,"[18617.0, 20688.0, 19796.0, 21258.0, 17376.0, 17372.0, 14545.0]","[1005, 1005, 1005, 1005, 1005, 1005, 1005]","[5701.0, -120.0, 13180.0, -144.0, 0.0, 9326.0, -360.0, 12446.0, -364.0, -360.0, 6875.0, 0.0, 13365.0, -224.0, -220.0, 9587.0, -240.0, 12215.0, -124.0, -180.0, 1725.0, -48.0, 13174.0, 36.0, 2489.0, 5012.0, -560.0, 13614.0, -254.0, -440.0, 2595.0, -200.0, 12834.0, -684.0, 0.0]",0.15772087833563994,1.1359674767434627,0.0551173798844759,84.47248180719997,0.0,90051.421,11.382,3.283,312254.285,2286.621,448.26,3.417,7175,7171,7175,1025,7171,16.6796875,77.09375000000001,0.20000000000000004,5.0000000000000016e-05,7.1093475464731455,-0.037583958140263954,7.145610476513927,-0.12517109960317613,0.006605250413862416,2.1204166799783706,0.0
21258.0,14545.0,18030.625,1005.0,1,1,8200,1025,8196,False,8,8,11ef4_00000,ee2141787e144af1bfd962f6ce571ad7,2022-06-04_15-35-22,1654346122,90.50114560127258,723.0107758045197,3128,DESKTOP-CPP4MC7,127.0.0.1,723.0107758045197,8200,8,10.46631669998169,-684.0,13614.0,3606.125,"[18617.0, 20688.0, 19796.0, 21258.0, 17376.0, 17372.0, 14545.0, 14593.0]","[1005, 1005, 1005, 1005, 1005, 1005, 1005, 1005]","[5701.0, -120.0, 13180.0, -144.0, 0.0, 9326.0, -360.0, 12446.0, -364.0, -360.0, 6875.0, 0.0, 13365.0, -224.0, -220.0, 9587.0, -240.0, 12215.0, -124.0, -180.0, 1725.0, -48.0, 13174.0, 36.0, 2489.0, 5012.0, -560.0, 13614.0, -254.0, -440.0, 2595.0, -200.0, 12834.0, -684.0, 0.0, 3449.0, -460.0, 12108.0, -164.0, -340.0]",0.15811866946311134,1.1364322649406593,0.05499561458051191,84.48319041428896,0.0,90130.049,11.372,3.121,328368.272,2283.867,448.8,3.485,8200,8196,8200,1025,8196,16.73228346456693,77.50629921259842,0.20000000000000004,5.0000000000000016e-05,8.975281496842703,-0.05110414490724603,9.023925791184107,-0.000578588992357254,0.012299394606683249,2.0974803984165193,0.0
21258.0,14545.0,17877.0,1005.0,1,1,9225,1025,9221,False,9,9,11ef4_00000,ee2141787e144af1bfd962f6ce571ad7,2022-06-04_15-36-53,1654346213,91.32948851585388,814.3402643203735,3128,DESKTOP-CPP4MC7,127.0.0.1,814.3402643203735,9225,9,10.46631669998169,-684.0,13614.0,3575.4,"[18617.0, 20688.0, 19796.0, 21258.0, 17376.0, 17372.0, 14545.0, 14593.0, 16648.0]","[1005, 1005, 1005, 1005, 1005, 1005, 1005, 1005, 1005]","[5701.0, -120.0, 13180.0, -144.0, 0.0, 9326.0, -360.0, 12446.0, -364.0, -360.0, 6875.0, 0.0, 13365.0, -224.0, -220.0, 9587.0, -240.0, 12215.0, -124.0, -180.0, 1725.0, -48.0, 13174.0, 36.0, 2489.0, 5012.0, -560.0, 13614.0, -254.0, -440.0, 2595.0, -200.0, 12834.0, -684.0, 0.0, 3449.0, -460.0, 12108.0, -164.0, -340.0, 2879.0, -520.0, 9368.0, 4625.0, 296.0]",0.15854523064610637,1.1365429029100118,0.05491737645971213,84.50364043999072,0.0,90269.334,11.355,2.996,342102.301,2280.564,449.45,3.427,9225,9221,9225,1025,9221,16.331538461538464,77.46384615384615,0.20000000000000004,5.0000000000000016e-05,8.618224394321441,-0.058469740611811476,8.674704362948736,4.172449310620626e-05,0.009948766322002518,2.089764693379402,0.0
21258.0,14545.0,17692.7,1005.0,1,1,10250,1025,10246,False,10,10,11ef4_00000,ee2141787e144af1bfd962f6ce571ad7,2022-06-04_15-38-24,1654346304,90.1057333946228,904.4459977149963,3128,DESKTOP-CPP4MC7,127.0.0.1,904.4459977149963,10250,10,10.46631669998169,-684.0,13614.0,3538.54,"[18617.0, 20688.0, 19796.0, 21258.0, 17376.0, 17372.0, 14545.0, 14593.0, 16648.0, 16034.0]","[1005, 1005, 1005, 1005, 1005, 1005, 1005, 1005, 1005, 1005]","[5701.0, -120.0, 13180.0, -144.0, 0.0, 9326.0, -360.0, 12446.0, -364.0, -360.0, 6875.0, 0.0, 13365.0, -224.0, -220.0, 9587.0, -240.0, 12215.0, -124.0, -180.0, 1725.0, -48.0, 13174.0, 36.0, 2489.0, 5012.0, -560.0, 13614.0, -254.0, -440.0, 2595.0, -200.0, 12834.0, -684.0, 0.0, 3449.0, -460.0, 12108.0, -164.0, -340.0, 2879.0, -520.0, 9368.0, 4625.0, 296.0, 1834.0, -100.0, 13521.0, -174.0, 953.0]",0.1588805641065451,1.1362472600206754,0.05479918331415719,84.51675172363645,0.0,90252.951,11.357,2.996,342151.006,2281.811,449.205,3.38,10250,10246,10250,1025,10246,16.355905511811027,77.44724409448818,0.20000000000000004,5.0000000000000016e-05,9.146254122257233,-0.04558433527126908,9.18990644812584,-0.0007353909313678741,0.009659977811787705,2.064243114988009,0.0
